trace,prefetcher,IPC,speedup,coverage,pythia_llc_load_coverage,pythia_llc_read_overprediction,prediction_accuracy_issued,on_time_issue_yield,fill_utilization,late_frac,accuracy_issued,accuracy_filled,L2_demand_misses,baseline_demand_misses,L2_MPKI_demand,L2_prefetch_requested,L2_prefetch_dropped,L2_prefetch_issued,L2_prefetch_filled,L2_prefetch_useful,L2_prefetch_useless,L2_prefetch_late
xalancbmk,spp_dev2__spp_dev2_pf_threshold_20,0.57957,0.9979,0.0232,-0.0207,2.3045,0.0044,0.0042,0.7296,0.02771,0.0042,0.7296,461856,472847,3.079,3660321,562,3659759,21307,15545,5611,443
xalancbmk,spp_dev2__spp_dev2_pf_threshold_60,0.58184,1.0018,0.0228,0.0443,0.4329,0.0183,0.0176,0.7233,0.0416,0.0176,0.7233,462087,472847,3.0806,896045,0,896045,21787,15758,5926,684
xalancbmk,spp_dev2__spp_dev2_pf_threshold_80,0.58217,1.0024,0.0243,0.0445,0.1775,0.0518,0.0488,0.7219,0.0577,0.0488,0.7219,461368,472847,3.0758,335217,0,335217,22645,16347,6201,1001
xalancbmk,streamer,0.58377,1.0052,0.0624,0.0756,0.9987,0.012,0.012,0.3619,0.00389,0.012,0.3619,443354,472847,2.9557,4796308,0,4796308,158427,57342,100640,224
xalancbmk,streamer_1MB,0.57368,1.0107,0.0624,0.137,0.6826,0.012,0.012,0.3619,0.00436,0.012,0.3619,443360,472845,2.9557,4796378,0,4796378,158412,57331,100636,251
xalancbmk,streamer_2ch,0.58421,1.0057,0.0624,0.0761,0.9975,0.012,0.012,0.3621,0.00377,0.012,0.3621,443346,472848,2.9556,4794886,0,4794886,158385,57351,100589,217
xalancbmk,streamer_4MB,0.59142,1.002,0.0625,0.0078,1.4368,0.012,0.012,0.362,0.00316,0.012,0.362,443321,472851,2.9555,4797033,0,4797033,158475,57375,100655,182
xalancbmk,streamer__streamer_pref_degree_1,0.58349,1.0047,0.0567,0.0767,0.2,0.0425,0.0415,0.6845,0.02274,0.0415,0.6845,446056,472847,2.9737,995703,0,995703,60399,41342,18971,962
xalancbmk,streamer__streamer_pref_degree_16,0.58019,0.999,0.0424,-0.0119,3.0248,0.0046,0.0046,0.1683,0.00357,0.0046,0.1683,452814,472847,3.0188,13555601,14852,13540749,366176,61616,303452,221
xalancbmk,streamer__streamer_pref_degree_2,0.5839,1.0054,0.0621,0.0905,0.3971,0.0259,0.0249,0.5556,0.03917,0.0249,0.5556,443502,472847,2.9567,1978096,0,1978096,88604,49227,39195,2007
xalancbmk,streamer__streamer_pref_degree_4,0.58404,1.0056,0.0639,0.0795,0.803,0.0144,0.0144,0.4089,0.00471,0.0144,0.4089,442616,472847,2.9508,3879784,0,3879784,136401,55778,80263,264
xalancbmk,stride,0.58235,1.0027,0.0297,0.0384,0.0299,0.0156,0.0155,0.9029,0.00207,0.0155,0.9029,458799,472847,3.0587,1363485,0,1363485,23444,21167,2243,44
xalancbmk,stride_1MB,0.5706,1.0053,0.0297,0.0603,0.0193,0.0156,0.0155,0.9029,0.00245,0.0155,0.9029,458804,472845,3.0587,1363461,0,1363461,23438,21161,2243,52
xalancbmk,stride_2ch,0.58247,1.0027,0.0297,0.0384,0.0298,0.0156,0.0155,0.9031,0.00193,0.0155,0.9031,458797,472848,3.0586,1363040,0,1363040,23441,21170,2237,41
xalancbmk,stride_4MB,0.59099,1.0013,0.0297,0.0156,0.0353,0.0156,0.0155,0.9028,0.00165,0.0155,0.9028,458794,472851,3.0586,1363807,0,1363807,23457,21177,2246,35
xalancbmk,stride_L1,0.58418,1.0059,0.0484,0.0525,0.1444,,,0.2006,0.0,,0.2006,449983,472847,2.9999,0,0,0,39926,8011,31843,0
xalancbmk,stride__stride_pref_degree_1,0.58077,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,472847,472847,3.1523,689823,0,689823,0,0,0,0
xalancbmk,stride__stride_pref_degree_16,0.58216,1.0024,0.0415,0.0284,0.8402,0.0036,0.0036,0.3273,0.00085,0.0036,0.3273,453224,472847,3.0215,9250476,0,9250476,101028,33071,67352,28
xalancbmk,stride__stride_pref_degree_4,0.58256,1.0031,0.039,0.0484,0.1357,0.0106,0.0105,0.7328,0.00082,0.0105,0.7328,454409,472847,3.0294,2664233,0,2664233,38343,28099,10115,23
xalancbmk,stride__stride_pref_degree_8,0.58258,1.0031,0.0437,0.0475,0.3694,0.0064,0.0064,0.5215,0.00043,0.0064,0.5215,452178,472847,3.0145,5030468,0,5030468,61974,32319,29351,14
