trace,prefetcher,IPC,speedup,coverage,pythia_llc_load_coverage,pythia_llc_read_overprediction,prediction_accuracy_issued,on_time_issue_yield,fill_utilization,late_frac,accuracy_issued,accuracy_filled,L2_demand_misses,baseline_demand_misses,L2_MPKI_demand,L2_prefetch_requested,L2_prefetch_dropped,L2_prefetch_issued,L2_prefetch_filled,L2_prefetch_useful,L2_prefetch_useless,L2_prefetch_late
xalancbmk,ipcp_2ch,0.58108,1.0003,0.1744,-0.0629,8.7144,0.0068,0.0066,0.0448,0.02996,0.0066,0.0448,390364,472848,2.6024,7479806,0,7479806,1100353,49309,1048662,1523
xalancbmk,ipcp_4MB,0.5873,0.9951,0.1741,-0.1906,12.6369,0.0068,0.0066,0.045,0.02695,0.0066,0.045,390533,472851,2.6036,7475116,0,7475116,1097444,49354,1045709,1367
xalancbmk,ipcp_L1only,0.58092,1.0003,0.1751,-0.0666,6.7809,,,0.0376,0.0,,0.0376,390069,472847,2.6005,0,0,0,874209,32861,839139,0
xalancbmk,ipcp_L2only,0.58078,1.0,0.003,0.0106,0.0618,0.0412,0.0365,0.3223,0.11364,0.0365,0.3223,471432,472847,3.1429,127994,0,127994,14496,4672,9768,599
xalancbmk,spp_dev2,0.58173,1.0017,0.0233,0.0303,0.8592,0.01,0.0095,0.7204,0.05201,0.0095,0.7204,461850,472847,3.079,1669108,1,1669107,22014,15858,6000,870
xalancbmk,spp_dev2_1MB,0.57158,1.007,0.022,0.1079,0.6092,0.0098,0.0092,0.7213,0.06751,0.0092,0.7213,462445,472845,3.083,1661251,0,1661251,21084,15207,5762,1101
xalancbmk,spp_dev2_2ch,0.58207,1.002,0.0229,0.0344,0.8498,0.0099,0.0094,0.7238,0.05269,0.0094,0.7238,462022,472848,3.0801,1665940,0,1665940,21611,15641,5863,870
xalancbmk,spp_dev2_4MB,0.5903,1.0001,0.0241,0.0087,1.1117,0.0099,0.0097,0.728,0.02268,0.0097,0.728,461448,472851,3.0763,1675457,0,1675457,22318,16248,5945,377
xalancbmk,spp_dev2__pf20_fill100,0.57953,0.9979,0.001,-0.0203,1.7126,0.0,0.0,,,0.0,,472380,472847,3.1492,3135804,0,3135804,0,0,0,0
xalancbmk,spp_dev2__pf20_fill50,0.58123,1.0008,0.0628,0.0267,1.7903,0.023,0.0212,0.4721,0.07519,0.0212,0.4721,443132,472847,2.9542,2525237,0,2525237,113606,53637,59349,4361
xalancbmk,spp_dev2__pf20_fill70,0.58093,1.0003,0.0507,0.0206,1.8844,0.0133,0.0124,0.5927,0.06916,0.0124,0.5927,448883,472847,2.9926,3030556,144,3030412,63380,37565,25466,2791
