trace,prefetcher,IPC,speedup,coverage,accuracy_issued,accuracy_filled,L2_demand_misses,baseline_demand_misses,L2_MPKI_demand,late_frac
soplex,nopref,0.2775,,,,,6388641,,42.5909,
soplex,bingo,0.36981,1.3326,0.1837,0.098,0.7631,5215162,6388641,34.7677,0.02678
soplex,ipcp,0.40767,1.4691,0.5373,0.0339,0.1159,2955955,6388641,19.7064,0.03855
soplex,spp_dev2,0.32744,1.18,0.1021,0.0722,0.9563,5736660,6388641,38.2444,0.11587
soplex,streamer,0.38985,1.4049,0.4493,0.1645,0.5937,3518014,6388641,23.4534,0.05777
soplex,stride,0.32655,1.1768,0.1798,0.3033,0.8453,5239756,6388641,34.9317,0.19309
xalancbmk,nopref,0.58077,,,,,472847,,3.1523,
xalancbmk,bingo,0.57945,0.9977,0.0859,0.0405,0.5701,432218,472847,2.8815,0.0238
xalancbmk,ipcp,0.58031,0.9992,0.1748,0.0066,0.0448,390199,472847,2.6013,0.03217
xalancbmk,spp_dev2,0.58173,1.0017,0.0233,0.0095,0.7204,461850,472847,3.079,0.05201
xalancbmk,streamer,0.58377,1.0052,0.0624,0.012,0.3619,443354,472847,2.9557,0.00389
xalancbmk,stride,0.58235,1.0027,0.0297,0.0155,0.9029,458799,472847,3.0587,0.00207
